Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.51743046800995,3.33628619365859,2.69196085300733,2.87283900039763,3.13147556608587,3.12878689249369,2.81373597388477,3.45144612317307,3.28219699716972,2.67596629249958,-2.87832319647211,6.35008957640493,3.23802126201738,2.83350870346007
World,WLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.32634463368643,4.82239636013325,3.72532666110646,2.65167342916577,2.35449052820358,1.44385719270808,1.60553917414213,2.25427651934813,2.43873655522937,2.21677593359912,1.9056635869553,3.4754032028988,7.93092925430087,5.63566880551913
World,WLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.28633469019008,6.15688583531364,6.159641648439,6.10721944572915,5.96595956419962,6.00655926883703,5.97827384301346,5.90723141254145,5.76898308254956,5.59893079520961,6.60880501698705,6.06444597897447,5.26071088886287,4.91657221632923
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,,,,,
